beta,mix_ratio,cases
4.032187623868145332e-01,8.064375247736290664e-01,2.820000000000000000e+02
3.919345803413843421e-01,7.838691606827686842e-01,5.350000000000000000e+02
4.567456973866618752e-01,9.134913947733237505e-01,7.970000000000000000e+02
2.484946327760632068e-01,4.969892655521264135e-01,8.230000000000000000e+02
6.461561988320035921e-02,1.292312397664007184e-01,1.330000000000000000e+02
2.283372594154355339e-01,4.566745188308710679e-01,8.780000000000000000e+02
2.298207922040243489e-01,4.596415844080486979e-01,7.230000000000000000e+02
4.948726360695892557e-01,9.897452721391785113e-01,2.890000000000000000e+02
4.450323426517620029e-01,8.900646853035240058e-01,6.970000000000000000e+02
1.840795616284952585e-01,3.681591232569905170e-01,4.310000000000000000e+02
3.152085987933166411e-01,6.304171975866332822e-01,3.050000000000000000e+02
6.420194018312874729e-02,1.284038803662574946e-01,3.170000000000000000e+02
2.699859469160656444e-01,5.399718938321312889e-01,2.350000000000000000e+02
4.853020122715287488e-01,9.706040245430574975e-01,4.080000000000000000e+02
1.527320282206264812e-01,3.054640564412529624e-01,1.890000000000000000e+02
7.589331033869789467e-02,1.517866206773957893e-01,3.870000000000000000e+02
2.501708904330242067e-01,5.003417808660484134e-01,1.980000000000000000e+02
1.343082317682517401e-01,2.686164635365034803e-01,5.040000000000000000e+02
4.796884597490693181e-01,9.593769194981386361e-01,6.050000000000000000e+02
3.020738289248204866e-01,6.041476578496409733e-01,4.960000000000000000e+02
1.289502258395081036e-02,2.579004516790162072e-02,2.820000000000000000e+02
3.950258134098466600e-01,7.900516268196933201e-01,6.320000000000000000e+02
2.900503741677338820e-01,5.801007483354677641e-01,4.660000000000000000e+02
4.636238329362691868e-01,9.272476658725383736e-01,6.460000000000000000e+02
4.083859559541250239e-01,8.167719119082500479e-01,3.560000000000000000e+02
1.496207370492275701e-01,2.992414740984551402e-01,2.710000000000000000e+02
2.562424410824709620e-01,5.124848821649419239e-01,7.110000000000000000e+02
2.830198958313731583e-01,5.660397916627463166e-01,3.790000000000000000e+02
2.415311575846529890e-01,4.830623151693059780e-01,3.270000000000000000e+02
7.174570852508499463e-03,1.434914170501699893e-02,4.900000000000000000e+01
4.984266000359900972e-01,9.968532000719801944e-01,2.930000000000000000e+02
4.300425769505915041e-01,8.600851539011830083e-01,8.740000000000000000e+02
1.396536693347743552e-01,2.793073386695487104e-01,2.960000000000000000e+02
1.150659699658732604e-01,2.301319399317465209e-01,2.280000000000000000e+02
2.191258065792833776e-02,4.382516131585667551e-02,4.440000000000000000e+02
2.053784165816486817e-01,4.107568331632973635e-01,5.150000000000000000e+02
1.696284610329877318e-01,3.392569220659754636e-01,7.620000000000000000e+02
3.035024926513881227e-01,6.070049853027762454e-01,4.850000000000000000e+02
6.225889488842090147e-02,1.245177897768418029e-01,3.380000000000000000e+02
3.778580578263120437e-01,7.557161156526240875e-01,5.730000000000000000e+02
4.973497799518195039e-01,9.946995599036390079e-01,7.720000000000000000e+02
3.608646409285724554e-01,7.217292818571449109e-01,2.070000000000000000e+02
5.927303985863774383e-03,1.185460797172754877e-02,9.500000000000000000e+01
4.158130050089248742e-01,8.316260100178497483e-01,8.070000000000000000e+02
1.380536775017127682e-01,2.761073550034255364e-01,1.900000000000000000e+02
4.456616165413093689e-01,8.913232330826187377e-01,7.320000000000000000e+02
8.530051651507558619e-02,1.706010330301511724e-01,1.020000000000000000e+02
2.485477537401550308e-01,4.970955074803100615e-01,3.510000000000000000e+02
3.934148423675731809e-03,7.868296847351463619e-03,5.210000000000000000e+02
4.847693676017318376e-01,9.695387352034636752e-01,5.360000000000000000e+02
1.903121362939840244e-01,3.806242725879680489e-01,2.860000000000000000e+02
2.639911335979244211e-01,5.279822671958488423e-01,4.100000000000000000e+02
1.876739731296035996e-01,3.753479462592071991e-01,1.710000000000000000e+02
6.590183357901541195e-02,1.318036671580308239e-01,7.600000000000000000e+01
1.550710537990737103e-01,3.101421075981474207e-01,3.340000000000000000e+02
3.468887072651392622e-01,6.937774145302785245e-01,6.070000000000000000e+02
4.041310741817903396e-01,8.082621483635806792e-01,5.180000000000000000e+02
4.497608490401780457e-01,8.995216980803560913e-01,6.370000000000000000e+02
2.693994105953002038e-01,5.387988211906004077e-01,4.010000000000000000e+02
3.756902809851292435e-01,7.513805619702584870e-01,1.145000000000000000e+03
3.053067726398797088e-01,6.106135452797594176e-01,4.530000000000000000e+02
4.944958101616946378e-01,9.889916203233892755e-01,6.220000000000000000e+02
3.707029791442616462e-01,7.414059582885232924e-01,3.920000000000000000e+02
1.517145235596323305e-01,3.034290471192646610e-01,1.052000000000000000e+03
2.539738293659357105e-01,5.079476587318714209e-01,1.680000000000000000e+02
4.139518031012115462e-01,8.279036062024230924e-01,6.730000000000000000e+02
3.678315801204490865e-01,7.356631602408981729e-01,3.110000000000000000e+02
2.408351209480946720e-02,4.816702418961893439e-02,1.000000000000000000e+01
3.506891429755886747e-01,7.013782859511773493e-01,7.580000000000000000e+02
4.492998588571206486e-02,8.985997177142412973e-02,6.000000000000000000e+01
2.608220041185926319e-01,5.216440082371852638e-01,5.180000000000000000e+02
3.647246814235594048e-01,7.294493628471188096e-01,6.760000000000000000e+02
6.500808405054159245e-02,1.300161681010831849e-01,9.400000000000000000e+01
3.273469370185346228e-01,6.546938740370692456e-01,6.260000000000000000e+02
3.904936137745206870e-01,7.809872275490413740e-01,5.310000000000000000e+02
1.113873704673108422e-01,2.227747409346216845e-01,1.950000000000000000e+02
4.615314426372376100e-01,9.230628852744752200e-01,6.890000000000000000e+02
7.919868758019582566e-02,1.583973751603916513e-01,3.100000000000000000e+02
2.318429427015833988e-01,4.636858854031667976e-01,2.440000000000000000e+02
1.510129222671469096e-01,3.020258445342938192e-01,5.220000000000000000e+02
1.332636837546128938e-01,2.665273675092257877e-01,1.790000000000000000e+02
3.993172524111056609e-01,7.986345048222113219e-01,9.300000000000000000e+02
4.872338639470782384e-01,9.744677278941564769e-01,5.830000000000000000e+02
2.847565871882341004e-01,5.695131743764682009e-01,6.770000000000000000e+02
1.029829379555312063e-01,2.059658759110624127e-01,3.400000000000000000e+02
1.892855282560255703e-01,3.785710565120511406e-01,4.130000000000000000e+02
3.641869910084286621e-01,7.283739820168573242e-01,7.130000000000000000e+02
2.420690743307851722e-02,4.841381486615703444e-02,7.000000000000000000e+00
9.160017751877125303e-02,1.832003550375425061e-01,2.720000000000000000e+02
1.864468944234528025e-01,3.728937888469056050e-01,3.700000000000000000e+02
1.257684955631421797e-01,2.515369911262843594e-01,9.230000000000000000e+02
6.850936739227020400e-02,1.370187347845404080e-01,1.880000000000000000e+02
2.651263697985983270e-01,5.302527395971966540e-01,1.169000000000000000e+03
2.850125907021072713e-01,5.700251814042145426e-01,8.960000000000000000e+02
3.624986465349860909e-01,7.249972930699721818e-01,5.300000000000000000e+02
4.509443612911541166e-01,9.018887225823082332e-01,4.140000000000000000e+02
3.044701968527656621e-01,6.089403937055313243e-01,2.620000000000000000e+02
3.133176116507880860e-01,6.266352233015761719e-01,6.820000000000000000e+02
2.190633793370279081e-01,4.381267586740558162e-01,3.580000000000000000e+02
3.827176816762001277e-02,7.654353633524002554e-02,4.690000000000000000e+02
2.751360716132418838e-01,5.502721432264837675e-01,7.630000000000000000e+02
2.066071135326572050e-01,4.132142270653144100e-01,2.400000000000000000e+02
4.386989670218718329e-01,8.773979340437436658e-01,6.450000000000000000e+02
6.033363497417387755e-02,1.206672699483477551e-01,2.100000000000000000e+02
4.919283525384276490e-01,9.838567050768552980e-01,5.840000000000000000e+02
4.709374521659362434e-01,9.418749043318724867e-01,8.470000000000000000e+02
3.799949452885919010e-01,7.599898905771838020e-01,6.930000000000000000e+02
3.814293236789804697e-01,7.628586473579609395e-01,9.250000000000000000e+02
4.026762314863700509e-01,8.053524629727401019e-01,2.810000000000000000e+02
3.192475597364748396e-01,6.384951194729496793e-01,8.930000000000000000e+02
3.780462163496673966e-01,7.560924326993347933e-01,4.490000000000000000e+02
3.363809189853284032e-02,6.727618379706568064e-02,1.820000000000000000e+02
4.379158067325377712e-01,8.758316134650755425e-01,1.300000000000000000e+03
2.353195741577248645e-01,4.706391483154497291e-01,5.230000000000000000e+02
1.522656542308725713e-02,3.045313084617451427e-02,8.940000000000000000e+02
7.656493687151155747e-03,1.531298737430231149e-02,3.560000000000000000e+02
1.487256559730343874e-01,2.974513119460687749e-01,3.870000000000000000e+02
1.620101283699360017e-01,3.240202567398720035e-01,1.510000000000000000e+02
4.135601622810608502e-02,8.271203245621217004e-02,2.170000000000000000e+02
1.290899665557946885e-01,2.581799331115893770e-01,1.110000000000000000e+02
3.890217885647151430e-02,7.780435771294302860e-02,1.780000000000000000e+02
1.726959392218635481e-02,3.453918784437270961e-02,7.000000000000000000e+01
1.639787961901019719e-01,3.279575923802039439e-01,6.400000000000000000e+02
3.762741350778635585e-01,7.525482701557271170e-01,1.216000000000000000e+03
6.690082043116774013e-03,1.338016408623354803e-02,2.750000000000000000e+02
9.644632916798279165e-02,1.928926583359655833e-01,6.400000000000000000e+01
1.584910978403558657e-02,3.169821956807117314e-02,7.100000000000000000e+01
4.015369901030689248e-01,8.030739802061378496e-01,8.680000000000000000e+02
2.070420724610166907e-02,4.140841449220333814e-02,1.300000000000000000e+01
3.239229302926001086e-01,6.478458605852002172e-01,2.750000000000000000e+02
4.365121079274470461e-01,8.730242158548940923e-01,5.110000000000000000e+02
3.961008180412630142e-01,7.922016360825260284e-01,6.540000000000000000e+02
2.716369067723740649e-01,5.432738135447481298e-01,7.640000000000000000e+02
4.556601758427574200e-01,9.113203516855148401e-01,9.360000000000000000e+02
3.955924426324241017e-01,7.911848852648482033e-01,5.670000000000000000e+02
1.126736676918277391e-02,2.253473353836554782e-02,6.900000000000000000e+01
2.750046524579414231e-01,5.500093049158828462e-01,7.450000000000000000e+02
4.254427108169382410e-01,8.508854216338764820e-01,2.340000000000000000e+02
4.479229940138969579e-01,8.958459880277939158e-01,6.790000000000000000e+02
3.523271168142802501e-01,7.046542336285605002e-01,4.420000000000000000e+02
3.373199948442701102e-02,6.746399896885402203e-02,5.330000000000000000e+02
1.419964767224756730e-01,2.839929534449513460e-01,3.030000000000000000e+02
2.803361447380052218e-01,5.606722894760104436e-01,5.030000000000000000e+02
4.533064759194855298e-01,9.066129518389710595e-01,2.690000000000000000e+02
1.782450154501966089e-01,3.564900309003932177e-01,2.360000000000000000e+02
1.861763275369259230e-01,3.723526550738518459e-01,2.230000000000000000e+02
6.891406915884484841e-02,1.378281383176896968e-01,4.650000000000000000e+02
8.996687859932062103e-02,1.799337571986412421e-01,1.340000000000000000e+02
1.392339720339189624e-01,2.784679440678379247e-01,3.040000000000000000e+02
1.737363940826059383e-01,3.474727881652118766e-01,2.400000000000000000e+02
4.985709525015981636e-01,9.971419050031963272e-01,1.164000000000000000e+03
1.673832920742943098e-01,3.347665841485886196e-01,6.070000000000000000e+02
4.448337698621876446e-01,8.896675397243752892e-01,7.340000000000000000e+02
1.941385868238310053e-01,3.882771736476620106e-01,5.390000000000000000e+02
4.844087118210450571e-01,9.688174236420901142e-01,1.260000000000000000e+03
4.501662318900715443e-01,9.003324637801430885e-01,7.650000000000000000e+02
2.638605055957976564e-02,5.277210111915953128e-02,3.070000000000000000e+02
5.076620542105086953e-02,1.015324108421017391e-01,5.420000000000000000e+02
2.895543602392156024e-01,5.791087204784312048e-01,1.670000000000000000e+02
1.034074304615939521e-01,2.068148609231879043e-01,6.600000000000000000e+01
1.520580110464699874e-01,3.041160220929399749e-01,2.070000000000000000e+02
2.221831134965391308e-01,4.443662269930782616e-01,6.520000000000000000e+02
