NFB,FB,Ratio,Sigma,Gamma,Alpha,Delta_I,Delta_A
3.900000000000000000e+01,6.800000000000000000e+02,1.743589743589743435e+01,1.137635901809685546e+00,5.304573491777633265e-01,9.221946119304171852e-01,1.400444066421667300e+00,1.145335692847835984e+00
1.030000000000000000e+02,1.806000000000000000e+03,1.753398058252427205e+01,1.080725498728041467e+00,1.210473260596967915e+00,9.383161938462215579e-01,1.136361187973718323e+00,6.821757626772337879e-01
7.600000000000000000e+01,1.148000000000000000e+03,1.510526315789473628e+01,6.235720873992284252e-01,1.161585516361932635e+00,6.551077725729117507e-01,9.978662654906790275e-01,6.188522042160993220e-01
2.120000000000000000e+02,1.687000000000000000e+03,7.957547169811320487e+00,1.403117895430047390e+00,1.001568730529497575e+00,8.650202528203014829e-01,1.402796318772254747e+00,5.297179728877332572e-01
5.200000000000000000e+01,9.270000000000000000e+02,1.782692307692307665e+01,8.394912800039621148e-01,1.408261230248538887e+00,8.624892768494256678e-01,1.254374177794208123e+00,9.408475969579133125e-01
5.330000000000000000e+02,2.769000000000000000e+03,5.195121951219512368e+00,7.292972968065450923e-01,1.232679078818064600e+00,1.074160806674569368e+00,9.401025956272055506e-01,1.265252044229460804e+00
1.171000000000000000e+03,4.139000000000000000e+03,3.534585824081981187e+00,8.557457532139489675e-01,1.091900867575987810e+00,7.857172889671623084e-01,6.416107079526375268e-01,1.214352547091919199e+00
1.486000000000000000e+03,4.100000000000000000e+03,2.759084791386271718e+00,8.643327078898528359e-01,1.333085021185209218e+00,7.087633683204417334e-01,5.923686163603972821e-01,1.484750613287500576e+00
9.600000000000000000e+01,1.136000000000000000e+03,1.183333333333333393e+01,7.900390349322325978e-01,9.651705559998786654e-01,5.909175422917979370e-01,7.983936469143735337e-01,1.215908909925154990e+00
5.700000000000000000e+01,1.348000000000000000e+03,2.364912280701754455e+01,1.297214616183396174e+00,1.354733929570999251e+00,8.242239776266303553e-01,1.251509957169608445e+00,8.853250565645187642e-01
2.430000000000000000e+02,2.309000000000000000e+03,9.502057613168723549e+00,1.232400716509602034e+00,1.041016205002413431e+00,6.253276029943626302e-01,6.821812045522825940e-01,1.387213393696150598e+00
4.410000000000000000e+02,2.937000000000000000e+03,6.659863945578231359e+00,9.136083292751959739e-01,7.261463000541552582e-01,1.053399310180371362e+00,8.878358672923994943e-01,5.643407265587592203e-01
2.500000000000000000e+01,7.160000000000000000e+02,2.864000000000000057e+01,1.487920764229460513e+00,1.461700414892093791e+00,8.986225649544359317e-01,1.488766033269392164e+00,1.474837379346540356e+00
3.330000000000000000e+03,6.494000000000000000e+03,1.950150150150150141e+00,7.777080380267766824e-01,9.829977212020272193e-01,7.520987797343705594e-01,5.178730311378937357e-01,7.359586214539706184e-01
3.400000000000000000e+01,8.770000000000000000e+02,2.579411764705882248e+01,1.225610801664233529e+00,9.311435448896876466e-01,1.005860624666184311e+00,1.463770354104814153e+00,9.083282687333951166e-01
1.253000000000000000e+03,4.771000000000000000e+03,3.807661612130885942e+00,7.227667932659086469e-01,6.934412422339476523e-01,1.068875021977002238e+00,7.290529801693310663e-01,9.298249853627490458e-01
3.684000000000000000e+03,6.196000000000000000e+03,1.681867535287730808e+00,6.554588721669223350e-01,1.434528814109882866e+00,8.043924370133718194e-01,6.003820292058874575e-01,8.350708880305043325e-01
2.700000000000000000e+01,6.310000000000000000e+02,2.337037037037037024e+01,6.115162405726853878e-01,6.613585395887344731e-01,9.726678571156346376e-01,1.475658660636656627e+00,1.438171020897633934e+00
3.400000000000000000e+01,9.510000000000000000e+02,2.797058823529411598e+01,1.296593722702569007e+00,6.941733451404081823e-01,1.205343902842427983e+00,1.393933986103653044e+00,7.099650660479622788e-01
1.580000000000000000e+02,1.905000000000000000e+03,1.205696202531645511e+01,1.235596433291987761e+00,1.043142214038519366e+00,8.861144989792174576e-01,9.664410249976147504e-01,1.299144747815016876e+00
1.060000000000000000e+02,1.473000000000000000e+03,1.389622641509433976e+01,1.212673122074814369e+00,1.284299370373409577e+00,8.423303332396411269e-01,1.237774853082685533e+00,7.732851526205317683e-01
1.400000000000000000e+02,1.540000000000000000e+03,1.100000000000000000e+01,6.865501254107403417e-01,8.482216830926911921e-01,7.385461145028567875e-01,8.401381375130597684e-01,8.508667533748349721e-01
2.320000000000000000e+02,1.776000000000000000e+03,7.655172413793103203e+00,9.431017125067754359e-01,1.243857672267259629e+00,8.766503549778934534e-01,1.024334900227916734e+00,9.619595101093517675e-01
1.303100000000000000e+04,1.472600000000000000e+04,1.130074437878904048e+00,1.432655201102108755e+00,1.338470509175305967e+00,1.037290611831126697e+00,5.325008013764588322e-01,8.701619406029995618e-01
4.300000000000000000e+01,8.130000000000000000e+02,1.890697674418604635e+01,1.433979248379493310e+00,1.060802714582110173e+00,8.532695423904050891e-01,1.382639225293513796e+00,1.293013146663902102e+00
8.720000000000000000e+02,4.238000000000000000e+03,4.860091743119266283e+00,1.004702793785568371e+00,1.232967892864250459e+00,1.076614016158933707e+00,8.617541412670977063e-01,1.327636119045724428e+00
